연도,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,연합계,순위
1907,0,0,0,0,1,1,1,2,0,0,0,0,5,112
1908,0,0,0,0,0,1,1,1,0,0,0,0,3,115
1909,0,0,0,0,2,4,16,5,0,0,0,0,27,36
1910,0,0,0,0,0,2,4,7,0,0,0,0,13,93
1911,0,0,0,0,0,0,3,7,2,0,0,0,12,96
1912,0,0,0,0,0,1,10,10,1,0,0,0,22,57
1913,0,0,0,0,0,1,7,12,0,0,0,0,20,74
1914,0,0,0,0,0,1,21,15,5,0,0,0,42,8
1915,0,0,0,0,0,3,20,12,0,0,0,0,35,19
1916,0,0,0,0,0,2,0,1,0,0,0,0,3,115
1917,0,0,0,0,0,1,13,4,0,0,0,0,18,82
1918,0,0,0,0,0,0,1,5,0,0,0,0,6,109
1919,0,0,0,0,0,2,10,4,0,0,0,0,16,89
1920,0,0,0,0,0,2,8,5,0,0,0,0,15,91
1921,0,0,0,0,0,0,0,12,0,0,0,0,12,96
1922,0,0,0,0,0,6,11,14,0,0,0,0,31,27
1923,0,0,0,0,0,0,3,19,0,0,0,0,22,57
1924,0,0,0,0,0,0,15,11,0,0,0,0,26,42
1925,0,0,0,0,0,0,2,4,0,0,0,0,6,109
1926,0,0,0,0,0,0,2,9,0,0,0,0,11,101
1927,0,0,0,0,0,5,16,1,0,0,0,0,22,57
1928,0,0,0,0,2,2,6,10,0,0,0,0,20,74
1929,0,0,0,0,0,6,19,18,0,0,0,0,43,6
1930,0,0,0,0,0,2,11,7,0,0,0,0,20,74
1931,0,0,0,0,0,4,0,8,0,0,0,0,12,96
1932,0,0,0,0,0,1,20,7,0,0,0,0,28,34
1933,0,0,0,0,0,0,14,4,1,0,0,0,19,79
1934,0,0,0,0,0,4,12,6,0,0,0,0,22,57
1935,0,0,0,0,1,1,11,9,0,0,0,0,22,57
1936,0,0,0,0,0,4,7,0,0,0,0,0,11,101
1937,0,0,0,0,0,0,8,19,0,0,0,0,27,36
1938,0,0,0,0,0,0,8,16,0,0,0,0,24,47
1939,0,0,0,0,0,9,22,10,5,0,0,0,46,4
1940,0,0,0,0,0,5,2,5,0,0,0,0,12,96
1941,0,0,0,0,0,1,0,8,0,0,0,0,9,106
1942,0,0,0,0,0,3,28,10,0,0,0,0,41,11
1943,0,0,0,0,0,2,6,17,0,0,0,0,25,45
1944,0,0,0,0,0,5,16,18,2,0,0,0,41,11
1945,0,0,0,0,0,1,4,18,1,0,0,0,24,47
1946,0,0,0,0,0,4,17,8,0,0,0,0,29,30
1947,0,0,0,0,0,0,3,10,0,0,0,0,13,93
1948,0,0,0,0,0,1,0,4,0,0,0,0,5,112
1949,0,0,0,0,0,0,6,15,1,0,0,0,22,57
1950,0,0,0,0,0,0,5,11,1,0,0,0,17,86
1951,0,0,0,0,0,3,12,18,0,0,0,0,33,22
1952,0,0,0,0,0,3,10,12,0,0,0,0,25,45
1953,0,0,0,0,0,0,11,15,0,0,0,0,26,42
1954,0,0,0,0,0,0,0,17,0,0,0,0,17,86
1955,0,0,0,0,0,1,9,11,0,0,0,0,21,69
1956,0,0,0,0,0,0,10,12,1,0,0,0,23,50
1957,0,0,0,0,0,0,3,0,0,0,0,0,3,115
1958,0,0,0,0,2,7,9,5,0,0,0,0,23,50
