연도,가장 빠른 지점,가장 빠른 날짜,가장 늦은 지점,가장 늦은 날짜
1907,대구,1907-05-31,대구,1907-08-25
1908,대구,1908-06-02,대구,1908-08-05
1909,대구,1909-05-30,대구,1909-08-30
1910,대구,1910-06-10,대구,1910-08-27
1911,대구,1911-07-19,대구,1911-09-03
1912,대구,1912-06-28,대구,1912-09-01
1913,대구,1913-06-19,대구,1913-08-18
1914,대구,1914-06-26,대구,1914-09-07
1915,대구,1915-06-14,대구,1915-08-17
1916,대구,1916-06-03,대구,1916-08-06
1917,대구,1917-06-26,대구,1917-08-10
1918,대구,1918-07-24,대구,1918-08-07
1919,대구,1919-06-29,대구,1919-08-25
1920,대구,1920-06-20,대구,1920-08-14
1921,대구,1921-08-07,대구,1921-08-23
1922,대구,1922-06-01,대구,1922-08-30
1923,대구,1923-07-28,대구,1923-08-29
1924,대구,1924-07-05,대구,1924-08-22
1925,대구,1925-07-28,대구,1925-08-28
1926,대구,1926-07-27,대구,1926-08-14
1927,대구,1927-06-11,대구,1927-08-26
1928,대구,1928-05-30,대구,1928-08-31
1929,대구,1929-06-02,대구,1929-08-19
1930,대구,1930-06-12,대구,1930-08-11
1931,대구,1931-06-24,대구,1931-08-22
1932,대구,1932-06-04,대구,1932-08-28
1933,대구,1933-07-08,대구,1933-09-01
1934,대구,1934-06-26,대구,1934-08-18
1935,대구,1935-05-24,대구,1935-08-29
1936,대구,1936-06-12,대구,1936-07-30
1937,대구,1937-07-02,대구,1937-08-29
1938,대구,1938-07-15,대구,1938-08-31
1939,대구,1939-06-06,대구,1939-09-07
1940,대구,1940-06-13,대구,1940-08-24
1941,대구,1941-06-24,대구,1941-08-17
1942,대구,1942-06-05,대구,1942-08-24
1943,대구,1943-06-09,대구,1943-08-25
1944,대구,1944-06-12,대구,1944-09-02
1945,대구,1945-06-04,대구,1945-09-06
1946,대구,1946-06-06,대구,1946-08-25
1947,대구,1947-07-25,대구,1947-08-31
1948,대구,1948-06-23,대구,1948-08-22
1949,대구,1949-07-16,대구,1949-09-16
1954,대구,1954-08-04,대구,1954-08-27
1955,대구,1955-06-09,대구,1955-08-19
1956,대구,1956-07-14,대구,1956-09-03
1957,대구,1957-07-16,대구,1957-07-18
1958,대구,1958-05-29,대구,1958-08-09
1959,대구,1959-06-15,대구,1959-08-25
1960,대구,1960-06-08,대구,1960-09-01
1961,대구,1961-06-11,대구,1961-09-04
1962,대구,1962-05-21,대구,1962-08-22
1963,대구,1963-07-14,대구,1963-08-12
1964,대구,1964-06-25,대구,1964-09-04
1965,대구,1965-06-22,대구,1965-08-27
1966,대구,1966-06-22,대구,1966-08-29
1967,대구,1967-06-06,대구,1967-09-08
1968,대구,1968-06-05,대구,1968-08-21
1969,대구,1969-06-24,대구,1969-08-23
1970,대구,1970-06-28,대구,1970-08-15
1971,대구,1971-06-24,대구,1971-08-27
1972,대구,1972-06-10,대구,1972-08-17
1973,대구,1973-06-24,대구,1973-08-29
1974,대구,1974-06-14,대구,1974-08-23
1975,대구,1975-06-15,대구,1975-09-11
1976,대구,1976-06-28,대구,1976-08-22
1977,대구,1977-07-02,대구,1977-09-01
1978,대구,1978-05-22,대구,1978-09-03
1979,대구,1979-05-29,대구,1979-08-23
1980,대구,1980-06-06,대구,1980-07-21
1981,대구,1981-05-26,대구,1981-08-12
1982,대구,1982-06-04,대구,1982-08-19
1983,대구,1983-05-29,대구,1983-09-02
1984,대구,1984-07-02,대구,1984-08-29
1985,대구,1985-07-19,대구,1985-09-05
1986,대구,1986-07-20,대구,1986-08-20
1987,대구,1987-06-04,대구,1987-07-28
1988,대구,1988-06-13,대구,1988-08-20
1989,대구,1989-07-18,대구,1989-08-13
1990,대구,1990-06-05,대구,1990-09-09
1991,대구,1991-05-18,대구,1991-08-19
1992,대구,1992-06-01,대구,1992-09-04
1993,대구,1993-06-17,대구,1993-08-11
1994,대구,1994-06-16,대구,1994-09-08
1995,대구,1995-06-24,대구,1995-08-25
1996,대구,1996-06-02,대구,1996-08-23
1997,대구,1997-05-06,대구,1997-09-09
1998,대구,1998-07-06,대구,1998-09-10
1999,대구,1999-06-12,대구,1999-08-11
2000,대구,2000-05-25,대구,2000-08-15
2001,대구,2001-06-10,대구,2001-08-24
2002,대구,2002-06-05,대구,2002-09-03
2003,대구,2003-08-03,대구,2003-08-24
2004,대구,2004-06-04,대구,2004-08-17
2005,대구,2005-06-21,대구,2005-09-12
2006,대구,2006-06-20,대구,2006-08-24
2007,대구,2007-06-18,대구,2007-09-21
2008,대구,2008-05-27,대구,2008-09-13
2009,대구,2009-05-09,대구,2009-09-07
2010,대구,2010-06-17,대구,2010-09-21
2011,대구,2011-06-21,대구,2011-09-16
2012,대구,2012-07-04,대구,2012-08-26
2013,대구,2013-05-13,대구,2013-09-13
2014,대구,2014-05-29,대구,2014-08-06
2015,대구,2015-05-26,대구,2015-08-15
2016,대구,2016-06-18,대구,2016-08-25
2017,대구,2017-05-29,대구,2017-08-25
2018,대구,2018-06-02,대구,2018-08-29
2019,대구,2019-05-24,대구,2019-08-18
2020,대구,2020-06-04,대구,2020-08-30
2021,대구,2021-06-08,대구,2021-08-26
2022,대구,2022-05-24,대구,2022-09-17
2023,대구,2023-05-16,대구,2023-08-23
2024,대구,2024-06-10,대구,2024-09-19
