楷档,瘤痢,矫累老,辆丰老,瘤加老荐
1907,措备,1907-08-09,1907-08-10,2
1908,措备,1908-07-28,1908-08-01,5
1909,措备,1909-07-23,1909-07-27,5
1910,措备,1910-07-31,1910-08-01,2
1911,措备,1911-07-19,1911-07-20,2
1912,措备,1912-07-30,1912-08-04,6
1913,措备,1913-07-26,1913-07-28,3
1914,措备,1914-07-25,1914-07-28,4
1915,措备,1915-07-30,1915-07-31,2
1916,措备,1916-09-09,1916-09-09,1
1917,措备,1917-08-08,1917-08-10,3
1918,措备,1918-07-07,1918-07-08,2
1919,措备,1919-07-31,1919-08-01,2
1920,措备,1920-08-01,1920-08-02,2
1921,措备,1921-08-20,1921-08-21,2
1922,措备,1922-08-03,1922-08-08,6
1923,措备,1923-08-10,1923-08-13,4
1924,措备,1924-07-29,1924-07-31,3
1925,措备,1925-07-16,1925-07-17,2
1926,措备,1926-07-31,1926-08-04,5
1927,措备,1927-07-26,1927-07-31,6
1928,措备,1928-09-08,1928-09-08,1
1929,措备,1929-07-17,1929-07-31,15
1930,措备,1930-07-15,1930-07-18,4
1931,措备,1931-08-09,1931-08-10,2
1932,措备,1932-07-17,1932-07-24,8
1933,措备,1933-07-19,1933-07-23,5
1934,措备,1934-07-07,1934-07-10,4
1935,措备,1935-07-31,1935-08-03,4
1936,措备,1936-09-04,1936-09-04,1
1937,措备,1937-08-17,1937-08-19,3
1938,措备,1938-07-17,1938-07-21,5
1939,措备,1939-08-30,1939-08-30,1
1940,措备,1940-07-19,1940-07-20,2
1941,措备,1941-07-02,1941-07-02,1
1942,措备,1942-07-22,1942-07-25,4
1943,措备,1943-08-20,1943-08-20,1
1944,措备,1944-07-16,1944-07-19,4
1945,,,,
1946,措备,1946-07-18,1946-07-20,3
1947,措备,1947-07-24,1947-07-26,3
1948,措备,1948-07-27,1948-07-27,1
1949,措备,1949-08-15,1949-08-16,2
1950,措备,1950-07-18,1950-07-20,3
1951,措备,1951-08-18,1951-08-21,4
1952,措备,1952-07-24,1952-07-26,3
1953,措备,1953-07-27,1953-07-30,4
1954,措备,1954-08-14,1954-08-15,2
1955,措备,1955-07-27,1955-08-01,6
1956,措备,1956-08-08,1956-08-11,4
1957,措备,1957-08-20,1957-08-20,1
1958,措备,1958-07-29,1958-07-30,2
1959,措备,1959-07-29,1959-07-31,3
1960,措备,1960-07-30,1960-08-02,4
1961,措备,1961-07-20,1961-07-25,6
1962,措备,1962-08-06,1962-08-08,3
1963,措备,1963-07-21,1963-07-23,3
1964,措备,1964-08-04,1964-08-10,7
1965,措备,1965-07-27,1965-07-28,2
1966,措备,1966-08-04,1966-08-11,8
1967,措备,1967-07-30,1967-08-10,12
1968,措备,1968-07-21,1968-07-22,2
1969,措备,1969-08-08,1969-08-11,4
1970,措备,1970-08-02,1970-08-05,4
1971,措备,1971-07-27,1971-08-01,6
1972,措备,1972-07-06,1972-07-07,2
1973,措备,1973-08-15,1973-08-17,3
1974,措备,1974-08-22,1974-08-22,1
1975,措备,1975-07-18,1975-07-21,4
1976,措备,1976-08-12,1976-08-13,2
1977,措备,1977-07-28,1977-08-03,7
1978,措备,1978-07-29,1978-08-02,5
1979,措备,1979-07-30,1979-08-02,4
1980,,,,
1981,措备,1981-07-18,1981-07-22,5
1982,措备,1982-08-05,1982-08-08,4
1983,措备,1983-07-30,1983-08-04,6
1984,措备,1984-08-01,1984-08-11,11
1985,措备,1985-08-06,1985-08-08,3
1986,措备,1986-07-27,1986-07-27,1
1987,措备,1987-08-29,1987-08-29,1
1988,措备,1988-07-09,1988-07-12,4
1989,措备,1989-07-19,1989-07-20,2
1990,措备,1990-08-04,1990-08-06,3
1991,措备,1991-07-22,1991-07-24,3
1992,措备,1992-08-31,1992-09-03,4
1993,措备,1993-08-24,1993-08-24,1
1994,措备,1994-07-30,1994-08-08,10
1995,措备,1995-07-30,1995-08-08,10
1996,措备,1996-07-27,1996-07-30,4
1997,措备,1997-07-02,1997-07-04,3
1998,措备,1998-07-07,1998-07-10,4
1999,措备,1999-08-07,1999-08-08,2
2000,措备,2000-08-30,2000-08-31,2
2001,措备,2001-07-20,2001-08-09,21
2002,措备,2002-07-29,2002-08-05,8
2003,措备,2003-08-21,2003-08-21,1
2004,措备,2004-07-18,2004-07-24,7
2005,措备,2005-08-09,2005-08-14,6
2006,措备,2006-07-30,2006-08-07,9
2007,措备,2007-08-16,2007-08-21,6
2008,措备,2008-07-04,2008-07-11,8
2009,措备,2009-07-17,2009-07-18,2
2010,措备,2010-08-09,2010-08-14,6
2011,措备,2011-07-26,2011-07-28,3
2012,措备,2012-07-22,2012-08-06,16
2013,措备,2013-08-07,2013-08-19,13
2014,措备,2014-07-21,2014-07-25,5
2015,措备,2015-07-26,2015-07-31,6
2016,措备,2016-08-10,2016-08-15,6
2017,措备,2017-07-07,2017-07-11,5
2018,措备,2018-07-12,2018-07-27,16
2019,措备,2019-08-09,2019-08-15,7
2020,措备,2020-08-25,2020-08-29,5
2021,措备,2021-08-03,2021-08-06,4
2022,措备,2022-07-29,2022-08-11,14
2023,措备,2023-08-02,2023-08-08,7
2024,措备,2024-07-20,2024-08-04,16
