연도,가장 빠른 지점,가장 빠른 날짜,가장 늦은 지점,가장 늦은 날짜
1907,대구,1907-07-30,대구,1907-08-10
1908,대구,1908-07-23,대구,1908-08-21
1909,대구,1909-07-13,대구,1909-08-07
1910,대구,1910-07-19,대구,1910-08-31
1911,대구,1911-07-19,대구,1911-07-20
1912,대구,1912-07-18,대구,1912-08-04
1913,대구,1913-07-13,대구,1913-08-17
1914,대구,1914-07-01,대구,1914-08-22
1915,대구,1915-07-14,대구,1915-08-06
1916,대구,1916-07-19,대구,1916-09-09
1917,대구,1917-06-26,대구,1917-08-13
1918,대구,1918-06-29,대구,1918-08-16
1919,대구,1919-07-22,대구,1919-08-01
1920,대구,1920-07-05,대구,1920-08-02
1921,대구,1921-07-05,대구,1921-08-21
1922,대구,1922-07-14,대구,1922-08-19
1923,대구,1923-07-27,대구,1923-08-23
1924,대구,1924-07-06,대구,1924-08-05
1925,대구,1925-07-16,대구,1925-08-29
1926,대구,1926-07-15,대구,1926-08-26
1927,대구,1927-07-13,대구,1927-08-09
1928,대구,1928-07-10,대구,1928-09-08
1929,대구,1929-07-11,대구,1929-08-20
1930,대구,1930-06-30,대구,1930-08-21
1931,대구,1931-08-09,대구,1931-08-26
1932,대구,1932-07-10,대구,1932-08-04
1933,대구,1933-06-25,대구,1933-07-28
1934,대구,1934-07-03,대구,1934-08-11
1935,대구,1935-07-13,대구,1935-09-07
1936,대구,1936-07-20,대구,1936-09-04
1937,대구,1937-07-04,대구,1937-08-19
1938,대구,1938-07-09,대구,1938-08-17
1939,대구,1939-08-09,대구,1939-08-30
1940,대구,1940-07-02,대구,1940-08-16
1941,대구,1941-07-02,대구,1941-07-02
1942,대구,1942-07-05,대구,1942-08-13
1943,대구,1943-07-12,대구,1943-08-20
1944,대구,1944-06-29,대구,1944-08-08
1945,,,,
1946,대구,1946-07-12,대구,1946-08-19
1947,대구,1947-07-03,대구,1947-08-31
1948,대구,1948-07-27,대구,1948-07-27
1949,대구,1949-08-15,대구,1949-09-16
1950,대구,1950-07-18,대구,1950-08-19
1951,대구,1951-07-28,대구,1951-08-21
1952,대구,1952-07-24,대구,1952-08-25
1953,대구,1953-07-27,대구,1953-08-21
1954,대구,1954-08-07,대구,1954-08-21
1955,대구,1955-07-01,대구,1955-08-18
1956,대구,1956-07-15,대구,1956-08-11
1957,대구,1957-07-17,대구,1957-08-20
1958,대구,1958-07-19,대구,1958-08-08
1959,대구,1959-07-09,대구,1959-08-20
1960,대구,1960-06-27,대구,1960-08-22
1961,대구,1961-07-02,대구,1961-09-04
1962,대구,1962-07-27,대구,1962-08-08
1963,대구,1963-07-14,대구,1963-07-28
1964,대구,1964-07-01,대구,1964-09-12
1965,대구,1965-07-14,대구,1965-08-05
1966,대구,1966-06-25,대구,1966-08-23
1967,대구,1967-07-13,대구,1967-08-28
1968,대구,1968-07-18,대구,1968-07-26
1969,대구,1969-07-15,대구,1969-08-11
1970,대구,1970-07-27,대구,1970-08-05
1971,대구,1971-07-02,대구,1971-08-15
1972,대구,1972-07-06,대구,1972-08-03
1973,대구,1973-07-06,대구,1973-08-31
1974,대구,1974-08-01,대구,1974-08-22
1975,대구,1975-07-15,대구,1975-08-21
1976,대구,1976-07-27,대구,1976-08-21
1977,대구,1977-07-03,대구,1977-08-07
1978,대구,1978-06-25,대구,1978-08-28
1979,대구,1979-07-30,대구,1979-08-26
1980,,,,
1981,대구,1981-06-21,대구,1981-08-17
1982,대구,1982-08-05,대구,1982-08-19
1983,대구,1983-07-25,대구,1983-08-17
1984,대구,1984-07-02,대구,1984-09-01
1985,대구,1985-07-09,대구,1985-08-13
1986,대구,1986-07-27,대구,1986-07-27
1987,대구,1987-07-10,대구,1987-08-29
1988,대구,1988-07-07,대구,1988-07-19
1989,대구,1989-07-19,대구,1989-08-20
1990,대구,1990-07-06,대구,1990-08-30
1991,대구,1991-06-28,대구,1991-08-01
1992,대구,1992-07-19,대구,1992-09-03
1993,대구,1993-07-08,대구,1993-08-24
1994,대구,1994-07-01,대구,1994-09-04
1995,대구,1995-07-09,대구,1995-08-23
1996,대구,1996-07-15,대구,1996-08-13
1997,대구,1997-07-02,대구,1997-09-01
1998,대구,1998-07-02,대구,1998-08-14
1999,대구,1999-07-23,대구,1999-08-17
2000,대구,2000-06-30,대구,2000-08-31
2001,대구,2001-06-28,대구,2001-08-16
2002,대구,2002-07-14,대구,2002-08-29
2003,대구,2003-08-03,대구,2003-08-21
2004,대구,2004-07-12,대구,2004-08-08
2005,대구,2005-06-24,대구,2005-09-01
2006,대구,2006-07-12,대구,2006-08-23
2007,대구,2007-07-24,대구,2007-09-20
2008,대구,2008-07-04,대구,2008-08-13
2009,대구,2009-07-12,대구,2009-08-22
2010,대구,2010-07-20,대구,2010-09-10
2011,대구,2011-06-23,대구,2011-08-16
2012,대구,2012-07-04,대구,2012-08-27
2013,대구,2013-07-08,대구,2013-08-22
2014,대구,2014-07-09,대구,2014-08-06
2015,대구,2015-07-23,대구,2015-08-05
2016,대구,2016-07-25,대구,2016-08-22
2017,대구,2017-07-02,대구,2017-08-24
2018,대구,2018-07-12,대구,2018-08-22
2019,대구,2019-07-22,대구,2019-09-06
2020,대구,2020-07-19,대구,2020-08-29
2021,대구,2021-07-14,대구,2021-08-06
2022,대구,2022-06-26,대구,2022-08-22
2023,대구,2023-07-12,대구,2023-08-19
2024,대구,2024-07-04,대구,2024-09-19
