연도,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,연합계,순위
평년,0,0,0,0,0.1,0.6,3.1,5,0,0,0,0,8.8
1907,,,,,,,,,,0,0,0,0,105
1908,0,0,0,0,0,0,0,3,0,0,0,0,3,87
1909,0,0,0,0,0,0,0,5,0,0,0,0,5,66
1910,0,0,0,0,0,0,1,0,0,0,0,0,1,102
1911,0,0,0,0,0,0,0,5,0,0,0,0,5,66
1912,0,0,0,0,0,0,0,3,0,0,0,0,3,87
1913,0,0,0,0,0,0,0,0,0,0,0,0,0,105
1914,0,0,0,0,0,1,5,5,0,0,0,0,11,39
1915,0,0,0,0,0,0,4,6,0,0,0,0,10,45
1916,0,0,0,0,0,0,1,1,0,0,0,0,2,94
1917,0,0,0,0,0,4,11,3,0,0,0,0,18,18
1918,0,0,0,0,0,0,2,3,0,0,0,0,5,66
1919,0,0,0,0,0,0,9,16,0,0,0,0,25,6
1920,0,0,0,0,0,3,5,3,1,0,0,0,12,34
1921,0,0,0,0,0,0,0,12,0,0,0,0,12,34
1922,0,0,0,0,0,1,4,6,0,0,0,0,11,39
1923,0,0,0,0,0,1,0,9,0,0,0,0,10,45
1924,0,0,0,0,0,2,5,16,0,0,0,0,23,10
1925,0,0,0,0,0,0,3,2,0,0,0,0,5,66
1926,0,0,0,0,0,0,1,1,0,0,0,0,2,94
1927,0,0,0,0,0,1,4,2,0,0,0,0,7,55
1928,0,0,0,0,0,0,3,10,0,0,0,0,13,30
1929,0,0,0,0,0,4,6,12,0,0,0,0,22,11
1930,0,0,0,0,0,3,7,14,0,0,0,0,24,8
1931,0,0,0,0,0,0,0,4,0,0,0,0,4,77
1932,0,0,0,0,1,0,11,7,0,0,0,0,19,15
1933,0,0,0,0,0,0,4,0,0,0,0,0,4,77
1934,0,0,0,0,0,0,0,1,0,0,0,0,1,102
1935,0,0,0,0,0,0,0,2,1,0,0,0,3,87
1936,0,0,0,0,0,0,1,0,0,0,0,0,1,102
1937,0,0,0,0,0,0,5,14,0,0,0,0,19,15
1938,0,0,0,0,0,0,8,13,0,0,0,0,21,12
1939,0,0,0,0,0,1,19,23,4,0,0,0,47,1
1940,0,0,0,0,0,0,2,3,0,0,0,0,5,66
1941,0,0,0,0,0,0,3,1,0,0,0,0,4,77
1942,0,0,0,0,0,3,9,5,0,0,0,0,17,21
1943,0,0,0,0,0,2,15,25,1,0,0,0,43,2
1944,0,0,0,0,0,2,4,11,0,0,0,0,17,21
1945,0,0,0,0,0,0,0,12,0,0,0,0,12,34
1946,0,0,0,0,0,0,10,11,0,0,0,0,21,12
1947,0,0,0,0,0,0,1,3,0,0,0,0,4,77
1948,0,0,0,0,0,0,0,10,1,0,0,0,11,39
1949,0,0,0,0,0,2,6,12,0,0,0,0,20,14
1950,0,0,0,0,2,0,8,15,0,0,,,25,6
1951,,,,,,,,,,,,0,0,105
1952,0,0,0,0,0,0,0,,0,0,0,0,0,105
1953,0,0,0,0,0,0,0,0,0,0,0,0,0,105
1954,0,0,0,0,0,0,0,5,0,0,0,0,5,66
1955,0,0,0,0,0,3,0,11,0,0,0,0,14,26
1956,0,0,0,0,0,0,3,4,0,0,0,0,7,55
1957,0,0,0,0,0,0,0,2,0,0,0,0,2,94
1958,0,0,0,0,0,6,7,2,0,0,0,0,15,24
1959,0,0,0,0,0,0,2,10,0,0,0,0,12,34
1960,0,0,0,0,0,0,0,12,0,0,0,0,12,34
