연도,지점,시작일,종료일,지속일수
1907,,,,
1908,서울,1908-08-20,1908-08-20,1
1909,서울,1909-08-08,1909-08-10,3
1910,서울,1910-07-30,1910-07-30,1
1911,서울,1911-08-12,1911-08-13,2
1912,서울,1912-08-10,1912-08-11,2
1913,,,,
1914,서울,1914-07-24,1914-07-27,4
1915,서울,1915-08-01,1915-08-05,5
1916,서울,1916-08-27,1916-08-27,1
1917,서울,1917-07-26,1917-08-03,9
1918,서울,1918-08-06,1918-08-07,2
1919,서울,1919-08-05,1919-08-14,10
1920,서울,1920-08-09,1920-08-10,2
1921,서울,1921-08-12,1921-08-22,11
1922,서울,1922-08-14,1922-08-17,4
1923,서울,1923-08-05,1923-08-09,5
1924,서울,1924-08-08,1924-08-14,7
1925,서울,1925-08-27,1925-08-27,1
1926,서울,1926-08-15,1926-08-15,1
1927,서울,1927-08-07,1927-08-08,2
1928,서울,1928-08-13,1928-08-16,4
1929,서울,1929-07-29,1929-08-06,9
1930,서울,1930-07-29,1930-08-14,17
1931,서울,1931-08-15,1931-08-16,2
1932,서울,1932-07-25,1932-08-02,9
1933,서울,1933-07-20,1933-07-21,2
1934,서울,1934-08-07,1934-08-07,1
1935,서울,1935-09-08,1935-09-08,1
1936,서울,1936-07-23,1936-07-23,1
1937,서울,1937-08-16,1937-08-23,8
1938,서울,1938-08-04,1938-08-15,12
1939,서울,1939-08-15,1939-08-24,10
1940,서울,1940-08-21,1940-08-23,3
1941,서울,1941-07-19,1941-07-21,3
1942,서울,1942-08-11,1942-08-15,5
1943,서울,1943-08-04,1943-08-28,25
1944,서울,1944-07-28,1944-08-02,6
1945,서울,1945-08-19,1945-08-28,10
1946,서울,1946-07-23,1946-07-30,8
1947,서울,1947-08-29,1947-08-29,1
1948,서울,1948-08-28,1948-09-01,5
1949,서울,1949-08-07,1949-08-17,11
1954,서울,1954-08-16,1954-08-17,2
1955,서울,1955-08-22,1955-08-27,6
1956,서울,1956-07-29,1956-08-03,6
1957,서울,1957-08-10,1957-08-11,2
1958,서울,1958-06-22,1958-06-26,5
1959,서울,1959-07-31,1959-08-07,8
1960,서울,1960-08-03,1960-08-10,8
1961,서울,1961-07-29,1961-08-03,6
1962,서울,1962-07-24,1962-07-26,3
1963,서울,1963-08-07,1963-08-09,3
1964,서울,1964-08-17,1964-08-19,3
1965,서울,1965-07-02,1965-07-03,2
1966,서울,1966-08-29,1966-08-30,2
1967,서울,1967-07-24,1967-07-26,3
1968,서울,1968-08-02,1968-08-04,3
1969,,,,
1970,서울,1970-08-10,1970-08-14,5
1971,서울,1971-08-02,1971-08-03,2
1972,서울,1972-07-20,1972-07-23,4
1973,서울,1973-08-14,1973-08-16,3
1974,서울,1974-08-19,1974-08-20,2
1975,서울,1975-08-17,1975-08-19,3
1976,서울,1976-07-25,1976-07-25,1
1977,서울,1977-07-26,1977-08-01,7
1978,서울,1978-07-24,1978-07-29,6
1979,,,,
1980,,,,
1981,서울,1981-07-30,1981-07-31,2
1982,서울,1982-08-11,1982-08-12,2
1983,서울,1983-08-04,1983-08-06,3
1984,서울,1984-08-18,1984-08-19,2
1985,서울,1985-07-28,1985-07-31,4
1986,,,,
1987,,,,
1988,서울,1988-08-04,1988-08-15,12
1989,서울,1989-08-04,1989-08-06,3
1990,서울,1990-07-29,1990-08-03,6
1991,서울,1991-08-20,1991-08-21,2
1992,,,,
1993,,,,
1994,서울,1994-07-16,1994-07-29,14
1995,서울,1995-08-14,1995-08-15,2
1996,서울,1996-07-31,1996-08-03,4
1997,서울,1997-07-26,1997-07-29,4
1998,,,,
1999,서울,1999-08-12,1999-08-17,6
2000,서울,2000-07-02,2000-07-08,7
2001,서울,2001-08-16,2001-08-17,2
2002,서울,2002-07-27,2002-07-28,2
2003,,,,
2004,서울,2004-07-29,2004-08-02,5
2005,서울,2005-07-22,2005-07-24,3
2006,서울,2006-08-08,2006-08-10,3
2007,서울,2007-08-25,2007-08-25,1
2008,서울,2008-08-07,2008-08-08,2
2009,서울,2009-08-14,2009-08-16,3
2010,서울,2010-08-09,2010-08-09,1
2011,서울,2011-08-07,2011-08-07,1
2012,서울,2012-07-31,2012-08-09,10
2013,서울,2013-08-21,2013-08-21,1
2014,서울,2014-07-30,2014-08-02,4
2015,서울,2015-08-06,2015-08-08,3
2016,서울,2016-08-03,2016-08-13,11
2017,서울,2017-08-01,2017-08-07,7
2018,서울,2018-07-18,2018-08-08,22
2019,서울,2019-08-02,2019-08-06,5
2020,서울,2020-08-25,2020-08-26,2
2021,서울,2021-07-21,2021-07-31,11
2022,서울,2022-07-26,2022-07-30,5
2023,서울,2023-07-28,2023-08-08,12
2024,서울,2024-08-09,2024-08-20,12
