연도,가장 빠른 지점,가장 빠른 날짜,가장 늦은 지점,가장 늦은 날짜
1907,,,,
1908,서울,1908-07-24,서울,1908-07-29
1909,서울,1909-07-13,서울,1909-08-09
1910,서울,1910-07-28,서울,1910-07-30
1911,서울,1911-07-19,서울,1911-08-11
1912,서울,1912-07-30,서울,1912-07-30
1913,,,,
1914,서울,1914-07-14,서울,1914-09-02
1915,서울,1915-07-21,서울,1915-07-29
1916,서울,1916-08-02,서울,1916-08-27
1917,서울,1917-08-09,서울,1917-08-09
1918,서울,1918-07-25,서울,1918-07-25
1919,서울,1919-08-01,서울,1919-08-13
1920,서울,1920-07-31,서울,1920-08-20
1921,서울,1921-08-06,서울,1921-08-21
1922,서울,1922-07-18,서울,1922-08-17
1923,서울,1923-08-02,서울,1923-08-23
1924,서울,1924-07-11,서울,1924-08-19
1925,서울,1925-07-24,서울,1925-07-24
1926,서울,1926-07-14,서울,1926-08-25
1927,서울,1927-07-16,서울,1927-08-08
1928,서울,1928-07-24,서울,1928-08-16
1929,서울,1929-07-11,서울,1929-08-14
1930,서울,1930-07-15,서울,1930-08-14
1931,서울,1931-08-08,서울,1931-08-25
1932,서울,1932-07-16,서울,1932-08-10
1933,서울,1933-07-20,서울,1933-07-21
1934,서울,1934-08-08,서울,1934-08-08
1935,서울,1935-07-26,서울,1935-09-08
1936,,,,
1937,서울,1937-07-29,서울,1937-08-17
1938,서울,1938-08-05,서울,1938-08-09
1939,서울,1939-07-09,서울,1939-08-30
1940,서울,1940-08-01,서울,1940-08-02
1941,,,,
1942,서울,1942-07-23,서울,1942-08-14
1943,서울,1943-07-11,서울,1943-08-28
1944,서울,1944-07-25,서울,1944-08-02
1945,,,,
1946,서울,1946-07-24,서울,1946-08-12
1947,서울,1947-08-03,서울,1947-08-23
1948,,,,
1949,서울,1949-08-09,서울,1949-08-16
1950,서울,1950-07-19,서울,1950-08-19
1951,,,,
1952,서울,1952-07-23,서울,1952-07-30
1953,서울,1953-07-20,서울,1953-08-23
1954,서울,1954-08-12,서울,1954-08-25
1955,서울,1955-07-16,서울,1955-07-29
1956,서울,1956-07-21,서울,1956-08-03
1957,,,,
1958,서울,1958-07-29,서울,1958-07-29
1959,서울,1959-08-03,서울,1959-08-24
1960,서울,1960-07-28,서울,1960-08-05
1961,서울,1961-07-24,서울,1961-08-10
1962,서울,1962-07-24,서울,1962-07-31
1963,서울,1963-07-19,서울,1963-08-09
1964,서울,1964-08-01,서울,1964-08-17
1965,서울,1965-08-16,서울,1965-08-16
1966,서울,1966-07-27,서울,1966-08-30
1967,서울,1967-07-18,서울,1967-08-28
1968,,,,
1969,서울,1969-07-27,서울,1969-08-12
1970,서울,1970-08-14,서울,1970-08-14
1971,서울,1971-07-27,서울,1971-08-02
1972,서울,1972-07-19,서울,1972-07-22
1973,서울,1973-07-13,서울,1973-08-15
1974,서울,1974-08-19,서울,1974-08-19
1975,서울,1975-07-20,서울,1975-08-20
1976,,,,
1977,서울,1977-07-22,서울,1977-08-01
1978,서울,1978-07-02,서울,1978-08-10
1979,서울,1979-07-31,서울,1979-08-15
1980,,,,
1981,서울,1981-07-15,서울,1981-08-02
1982,서울,1982-08-05,서울,1982-08-11
1983,서울,1983-07-30,서울,1983-08-06
1984,서울,1984-07-26,서울,1984-08-19
1985,서울,1985-07-25,서울,1985-08-24
1986,서울,1986-07-30,서울,1986-07-30
1987,,,,
1988,서울,1988-08-06,서울,1988-08-16
1989,서울,1989-07-18,서울,1989-08-19
1990,서울,1990-07-27,서울,1990-08-07
1991,서울,1991-07-28,서울,1991-08-17
1992,서울,1992-07-20,서울,1992-07-28
1993,,,,
1994,서울,1994-07-08,서울,1994-08-16
1995,서울,1995-07-25,서울,1995-08-17
1996,서울,1996-07-19,서울,1996-08-21
1997,서울,1997-07-20,서울,1997-08-31
1998,서울,1998-07-06,서울,1998-08-04
1999,서울,1999-07-20,서울,1999-08-17
2000,서울,2000-07-16,서울,2000-08-30
2001,서울,2001-07-20,서울,2001-08-17
2002,서울,2002-07-26,서울,2002-08-04
2003,서울,2003-08-21,서울,2003-08-21
2004,서울,2004-07-18,서울,2004-08-12
2005,서울,2005-07-22,서울,2005-08-31
2006,서울,2006-07-13,서울,2006-08-22
2007,서울,2007-07-26,서울,2007-08-25
2008,서울,2008-07-14,서울,2008-08-10
2009,서울,2009-07-16,서울,2009-08-19
2010,서울,2010-07-18,서울,2010-08-22
2011,서울,2011-07-30,서울,2011-08-11
2012,서울,2012-07-22,서울,2012-08-27
2013,서울,2013-07-15,서울,2013-08-21
2014,서울,2014-07-08,서울,2014-08-04
2015,서울,2015-07-10,서울,2015-08-07
2016,서울,2016-07-21,서울,2016-08-23
2017,서울,2017-07-11,서울,2017-08-23
2018,서울,2018-07-11,서울,2018-08-22
2019,서울,2019-07-19,서울,2019-08-14
2020,서울,2020-08-04,서울,2020-08-28
2021,서울,2021-07-12,서울,2021-08-05
2022,서울,2022-06-26,서울,2022-08-21
2023,서울,2023-06-28,서울,2023-09-04
2024,서울,2024-06-21,서울,2024-09-19
