연도,지점,시작일,종료일,지속일수
1907,,,,
1908,서울,1908-07-28,1908-07-29,2
1909,서울,1909-08-07,1909-08-09,3
1910,서울,1910-07-28,1910-07-30,3
1911,서울,1911-08-10,1911-08-11,2
1912,서울,1912-07-30,1912-07-30,1
1913,,,,
1914,서울,1914-07-25,1914-07-27,3
1915,서울,1915-07-28,1915-07-29,2
1916,서울,1916-08-27,1916-08-27,1
1917,서울,1917-08-09,1917-08-09,1
1918,서울,1918-07-25,1918-07-25,1
1919,서울,1919-08-01,1919-08-03,3
1920,서울,1920-08-20,1920-08-20,1
1921,서울,1921-08-20,1921-08-21,2
1922,서울,1922-08-16,1922-08-17,2
1923,서울,1923-08-23,1923-08-23,1
1924,서울,1924-08-06,1924-08-11,6
1925,서울,1925-07-24,1925-07-24,1
1926,서울,1926-08-25,1926-08-25,1
1927,서울,1927-07-27,1927-07-28,2
1928,서울,1928-08-16,1928-08-16,1
1929,서울,1929-08-12,1929-08-14,3
1930,서울,1930-08-05,1930-08-14,10
1931,서울,1931-08-08,1931-08-09,2
1932,서울,1932-07-20,1932-07-23,4
1933,서울,1933-07-20,1933-07-21,2
1934,서울,1934-08-08,1934-08-08,1
1935,서울,1935-09-07,1935-09-08,2
1936,,,,
1937,서울,1937-08-02,1937-08-05,4
1938,서울,1938-08-05,1938-08-06,2
1939,서울,1939-07-24,1939-07-28,5
1940,서울,1940-08-01,1940-08-02,2
1941,,,,
1942,서울,1942-08-13,1942-08-14,2
1943,서울,1943-07-30,1943-07-31,2
1944,서울,1944-07-31,1944-08-02,3
1945,,,,
1946,서울,1946-08-11,1946-08-12,2
1947,서울,1947-08-23,1947-08-23,1
1948,,,,
1949,서울,1949-08-15,1949-08-16,2
1950,서울,1950-08-15,1950-08-17,3
1951,,,,
1952,서울,1952-07-30,1952-07-30,1
1953,서울,1953-08-16,1953-08-23,8
1954,서울,1954-08-25,1954-08-25,1
1955,서울,1955-07-29,1955-07-29,1
1956,서울,1956-07-30,1956-08-03,5
1957,,,,
1958,서울,1958-07-29,1958-07-29,1
1959,서울,1959-08-24,1959-08-24,1
1960,서울,1960-07-28,1960-07-29,2
1961,서울,1961-07-31,1961-08-02,3
1962,서울,1962-07-24,1962-07-26,3
1963,서울,1963-08-09,1963-08-09,1
1964,서울,1964-08-01,1964-08-05,5
1965,서울,1965-08-16,1965-08-16,1
1966,서울,1966-08-07,1966-08-08,2
1967,서울,1967-07-24,1967-07-29,6
1968,,,,
1969,서울,1969-08-12,1969-08-12,1
1970,서울,1970-08-14,1970-08-14,1
1971,서울,1971-08-02,1971-08-02,1
1972,서울,1972-07-19,1972-07-22,4
1973,서울,1973-07-24,1973-07-26,3
1974,서울,1974-08-19,1974-08-19,1
1975,서울,1975-07-20,1975-07-23,4
1976,,,,
1977,서울,1977-07-22,1977-07-25,4
1978,서울,1978-07-25,1978-07-28,4
1979,서울,1979-08-15,1979-08-15,1
1980,,,,
1981,서울,1981-07-30,1981-08-02,4
1982,서울,1982-08-05,1982-08-06,2
1983,서울,1983-07-30,1983-08-04,6
1984,서울,1984-08-17,1984-08-19,3
1985,서울,1985-08-22,1985-08-24,3
1986,서울,1986-07-30,1986-07-30,1
1987,,,,
1988,서울,1988-08-15,1988-08-16,2
1989,서울,1989-07-18,1989-07-19,2
1990,서울,1990-08-07,1990-08-07,1
1991,서울,1991-08-17,1991-08-17,1
1992,서울,1992-07-28,1992-07-28,1
1993,,,,
1994,서울,1994-07-17,1994-08-09,24
1995,서울,1995-07-30,1995-08-07,9
1996,서울,1996-08-05,1996-08-10,6
1997,서울,1997-07-23,1997-08-02,11
1998,서울,1998-08-04,1998-08-04,1
1999,서울,1999-08-07,1999-08-11,5
2000,서울,2000-08-16,2000-08-17,2
2001,서울,2001-07-25,2001-07-27,3
2002,서울,2002-07-26,2002-07-28,3
2003,서울,2003-08-21,2003-08-21,1
2004,서울,2004-08-06,2004-08-12,7
2005,서울,2005-08-12,2005-08-16,5
2006,서울,2006-08-12,2006-08-15,4
2007,서울,2007-07-31,2007-08-03,4
2008,서울,2008-08-07,2008-08-10,4
2009,서울,2009-08-17,2009-08-19,3
2010,서울,2010-08-19,2010-08-22,4
2011,서울,2011-08-05,2011-08-06,2
2012,서울,2012-07-27,2012-08-09,14
2013,서울,2013-08-01,2013-08-09,9
2014,서울,2014-07-29,2014-07-30,2
2015,서울,2015-07-28,2015-07-31,4
2016,서울,2016-08-03,2016-08-23,21
2017,서울,2017-08-01,2017-08-08,8
2018,서울,2018-07-21,2018-08-15,26
2019,서울,2019-08-07,2019-08-10,4
2020,서울,2020-08-24,2020-08-28,5
2021,서울,2021-07-20,2021-08-01,13
2022,서울,2022-07-26,2022-08-08,14
2023,서울,2023-07-30,2023-08-08,10
2024,서울,2024-07-21,2024-08-23,34
